Employee_ID,Employee_Name,Gender,Age,Department,Job_Role,City,Joining_Date,Salary,Experience_Years,Performance_Rating,Employment_Status,Manager
E0001,Vikas,Female,38,Operations,Operations Manager,Mumbai,2021-12-11,71890,6,3,Active,S. Mehta
E0002,Simran,Male,44,Operations,Operations Executive,Kolkata,2024-01-03,47275,9,3,Resigned,P. Singh
E0003,Neha,Male,29,IT,Data Analyst,Chennai,2021-09-10,71787,1,4,Active,A. Sharma
E0004,Simran,Male,22,IT,Data Analyst,Kolkata,2018-03-05,57826,0,2,Active,P. Singh
E0005,Rohit,Male,50,Finance,Accountant,Mumbai,2022-05-25,56699,1,5,Active,P. Singh
E0006,Neha,Male,43,HR,HR Manager,Kolkata,2023-09-11,39369,3,2,Active,S. Mehta
E0007,Pooja,Male,45,HR,HR Manager,Chennai,2023-06-20,32181,5,3,Active,R. Gupta
E0008,Pooja,Male,32,Operations,Operations Manager,Mumbai,2022-12-22,114192,1,4,Resigned,A. Sharma
E0009,Neha,Female,53,Finance,Accountant,Kolkata,2023-03-09,51707,0,2,Active,N. Verma
E0010,Rohit,Female,27,HR,HR Manager,Mumbai,2024-05-15,42432,12,2,Active,S. Mehta
E0011,Rohit,Male,39,HR,HR Manager,Delhi,2018-02-20,100262,6,4,Active,P. Singh
E0012,Sneha,Female,58,HR,HR Executive,Bangalore,2024-03-11,96245,2,4,Active,R. Gupta
E0013,Vikas,Male,44,HR,HR Executive,Kolkata,2019-07-06,108829,1,2,Active,R. Gupta
E0014,Rohit,Female,22,Sales,Sales Manager,Hyderabad,2022-11-18,48595,10,5,Active,S. Mehta
E0015,Priya,Female,28,Operations,Operations Manager,Chennai,2022-01-24,51043,7,4,Active,S. Mehta
E0016,Karan,Female,37,HR,HR Manager,Bangalore,2019-09-09,118867,10,4,Resigned,A. Sharma
E0017,Priya,Male,40,Operations,Operations Executive,Bangalore,2019-02-06,104730,10,5,Active,S. Mehta
E0018,Pooja,Female,29,HR,HR Executive,Mumbai,2021-01-29,80719,5,4,Active,R. Gupta
E0019,Karan,Male,49,HR,HR Executive,Mumbai,2020-03-25,86959,0,4,Active,N. Verma
E0020,Karan,Female,26,IT,Software Engineer,Delhi,2022-07-28,73947,9,4,Active,A. Sharma
E0021,Amit,Female,45,Sales,Sales Executive,Mumbai,2022-01-01,107760,4,5,Active,N. Verma
E0022,Simran,Female,56,IT,Data Analyst,Kolkata,2022-05-20,96276,7,5,Active,R. Gupta
E0023,Nisha,Male,35,IT,Data Analyst,Kolkata,2023-09-29,42537,0,3,Resigned,N. Verma
E0024,Nisha,Male,37,HR,HR Manager,Mumbai,2019-12-06,103432,2,4,Resigned,A. Sharma
E0025,Simran,Female,21,Finance,Accountant,Hyderabad,2024-09-03,115101,7,2,Resigned,S. Mehta
E0026,Priya,Male,33,Sales,Sales Executive,Pune,2021-10-31,41076,11,2,Resigned,S. Mehta
E0027,Rohit,Male,28,Sales,Sales Executive,Delhi,2019-07-12,61979,2,5,Active,N. Verma
E0028,Amit,Male,34,HR,HR Executive,Kolkata,2018-08-27,46410,15,2,Active,A. Sharma
E0029,Rohit,Female,56,Sales,Sales Executive,Mumbai,2021-08-04,96363,0,5,Active,A. Sharma
E0030,Amit,Female,28,Operations,Operations Manager,Bangalore,2023-10-31,114373,15,5,Resigned,S. Mehta
E0031,Rahul,Male,53,IT,Data Analyst,Chennai,2023-01-02,108192,8,4,Active,A. Sharma
E0032,Sneha,Male,46,Sales,Sales Executive,Delhi,2018-09-16,79766,14,2,Active,A. Sharma
E0033,Sneha,Female,38,Sales,Sales Executive,Mumbai,2022-05-24,103026,1,3,Active,S. Mehta
E0034,Vikas,Male,48,IT,Software Engineer,Kolkata,2021-03-07,25465,3,4,Resigned,P. Singh
E0035,Rahul,Male,23,Finance,Finance Analyst,Mumbai,2018-09-30,99697,0,4,Active,S. Mehta
E0036,Sneha,Female,38,IT,Data Analyst,Mumbai,2023-04-03,38221,13,5,Active,A. Sharma
E0037,Vikas,Female,38,Sales,Sales Executive,Kolkata,2023-01-22,84383,1,3,Active,A. Sharma
E0038,Nisha,Female,50,HR,HR Executive,Mumbai,2018-09-14,27416,12,4,Active,N. Verma
E0039,Priya,Male,58,Operations,Operations Executive,Kolkata,2019-10-13,66090,7,3,Resigned,N. Verma
E0040,Rohit,Female,47,HR,HR Manager,Bangalore,2024-07-15,119614,6,3,Active,R. Gupta
E0041,Rahul,Male,26,Finance,Finance Analyst,Bangalore,2021-04-20,111781,1,3,Active,N. Verma
E0042,Ankit,Male,25,IT,Software Engineer,Chennai,2019-11-12,56266,0,3,Active,P. Singh
E0043,Nisha,Female,27,IT,Data Analyst,Chennai,2021-12-19,107238,10,3,Resigned,P. Singh
E0044,Vikas,Male,47,IT,Software Engineer,Bangalore,2021-09-29,43825,8,2,Resigned,N. Verma
E0045,Pooja,Male,34,Sales,Sales Executive,Kolkata,2018-11-11,38684,7,5,Active,P. Singh
E0046,Amit,Female,44,IT,Data Analyst,Hyderabad,2018-05-01,28281,10,4,Resigned,R. Gupta
E0047,Priya,Male,49,Operations,Operations Manager,Mumbai,2021-10-25,52244,14,3,Active,A. Sharma
E0048,Priya,Female,22,HR,HR Manager,Hyderabad,2021-02-04,58795,9,5,Active,R. Gupta
E0049,Sneha,Male,55,Operations,Operations Manager,Pune,2020-09-29,75327,14,3,Active,S. Mehta
E0050,Sneha,Male,58,Sales,Sales Executive,Mumbai,2022-08-07,105499,15,5,Active,P. Singh
E0051,Rohit,Male,26,Operations,Operations Executive,Hyderabad,2019-05-09,101491,15,3,Active,P. Singh
E0052,Rahul,Female,46,Operations,Operations Executive,Mumbai,2019-06-07,110217,14,5,Resigned,N. Verma
E0053,Amit,Male,58,IT,Software Engineer,Bangalore,2018-10-17,89930,3,3,Active,R. Gupta
E0054,Simran,Female,55,Operations,Operations Manager,Mumbai,2021-04-22,92245,11,5,Resigned,R. Gupta
E0055,Simran,Female,44,Finance,Accountant,Delhi,2019-04-05,47975,5,5,Active,S. Mehta
E0056,Pooja,Male,23,Operations,Operations Executive,Delhi,2024-06-11,55178,10,3,Resigned,P. Singh
E0057,Ankit,Male,56,Sales,Sales Executive,Bangalore,2018-07-31,60574,13,3,Active,P. Singh
E0058,Rahul,Female,41,IT,Data Analyst,Pune,2024-04-17,60061,2,2,Resigned,S. Mehta
E0059,Vikas,Female,37,IT,Software Engineer,Chennai,2022-03-14,89133,9,4,Active,P. Singh
E0060,Priya,Male,38,Finance,Accountant,Hyderabad,2021-03-28,34536,12,5,Active,S. Mehta
E0061,Pooja,Female,31,Operations,Operations Manager,Mumbai,2020-06-15,102339,0,3,Active,A. Sharma
E0062,Ankit,Female,44,Operations,Operations Executive,Pune,2021-12-28,88938,1,2,Active,N. Verma
E0063,Sneha,Female,23,Sales,Sales Manager,Delhi,2018-01-21,65803,2,2,Active,S. Mehta
E0064,Simran,Female,23,HR,HR Manager,Mumbai,2020-02-14,108668,13,5,Active,A. Sharma
E0065,Neha,Female,38,Sales,Sales Manager,Bangalore,2018-03-23,66018,13,3,Active,N. Verma
E0066,Rahul,Female,28,IT,Software Engineer,Mumbai,2018-12-28,72642,3,5,Active,S. Mehta
E0067,Ankit,Female,47,IT,Data Analyst,Mumbai,2019-12-04,28042,13,3,Active,S. Mehta
E0068,Nisha,Male,27,Operations,Operations Manager,Bangalore,2023-09-15,56904,2,5,Active,N. Verma
E0069,Pooja,Male,43,Operations,Operations Manager,Pune,2024-04-03,76202,6,5,Active,N. Verma
E0070,Priya,Male,23,HR,HR Manager,Bangalore,2020-03-15,90399,14,4,Resigned,N. Verma
E0071,Vikas,Male,29,Sales,Sales Executive,Chennai,2024-06-17,36065,5,2,Active,P. Singh
E0072,Vikas,Female,55,Finance,Accountant,Chennai,2021-03-03,37355,7,4,Active,S. Mehta
E0073,Simran,Female,50,IT,Data Analyst,Pune,2024-01-09,87975,1,3,Active,A. Sharma
E0074,Karan,Female,49,HR,HR Executive,Delhi,2018-10-18,74285,10,5,Active,P. Singh
